aaa,9935694,9704,91,195
aab,9597473,11752,86,268
aac,9886131,8622,10,28
aad,9976815,8436,137,189
aae,9844991,9273,39,158
aaf,9949150,8118,90,167
aag,9812420,8751,15,39
aba,9988690,9681,159,215
abb,9851855,11595,102,232
abc,9725836,11439,184,349
abd,9911652,8439,35,90
abe,9935158,7766,214,306
abf,9744308,10581,223,372
abg,9928097,10813,26,66
aca,9771181,10561,36,84
acb,9728266,7637,106,185
acc,9979999,9846,42,96
acd,9745943,7504,211,442
ace,9965244,8532,62,128
acf,9990811,7493,32,71
acg,9838731,8817,73,158
ada,9993127,8657,16,39
adb,9969026,8275,192,333
adc,9972345,8981,36,77
add,9999135,9595,55,135
ade,9203991,9539,356,630
adf,9798474,8827,85,127
adg,9993740,8171,383,675
aea,9864063,9222,50,219
aeb,9986062,8822,97,203
aec,9901553,9444,54,258
aed,9893803,9574,214,385
aee,9677671,9476,138,211
aef,9988881,9084,14,29
aeg,9568405,8938,117,160
afa,9702272,9740,44,128
afb,9793041,9696,181,269
afc,9421175,9658,338,775
afd,9957839,8992,243,378
afe,9929165,9087,5,13
aff,9925735,9882,73,172
afg,9956187,9541,63,181
aga,9948656,8089,7,16
agb,9755458,10170,51,92
agc,9763884,8751,102,313
agd,9554418,7938,14,54
age,9951012,9773,59,171
agf,9937902,9188,67,217
agg,9955047,8808,43,97
baa,9390975,8827,137,294
bab,9977352,7270,40,61
bac,9821315,8759,14,46
bad,9871164,10206,65,110
bae,9895129,8535,159,246
baf,9959586,10160,46,101
bag,9888591,9736,8,14
bba,9920393,8112,204,381
bbb,9917750,10226,104,226
bbc,9474344,10131,37,87
bbd,9398392,8190,39,64
bbe,9529163,10103,71,185
bbf,9976356,8501,148,234
bbg,9996605,8757,100,196
bca,9920917,8795,67,111
bcb,9640976,9306,39,69
bcc,9940606,9831,256,509
bcd,9671667,8943,156,297
bce,9825749,8246,12,36
bcf,9746083,8656,75,143
bcg,9970860,8873,129,235
bda,9978942,7759,80,216
bdb,9902993,7213,44,94
bdc,9775283,8382,204,346
bdd,9925121,7853,78,193
bde,9918349,8888,164,352
bdf,9857001,8294,5,8
bdg,9807771,10547,15,50
bea,9863436,9733,90,208
beb,9973029,9301,32,73
bec,9970578,8300,93,236
bed,9843063,9700,213,353
bee,9947169,8771,214,545
bef,9854823,7967,38,64
beg,9702466,8514,88,270
bfa,9893451,8698,218,302
bfb,9721997,8009,227,336
bfc,9803751,10869,54,97
bfd,9914060,9012,175,281
bfe,9981271,8252,38,126
bff,9740146,8898,17,28
bfg,9940190,8973,168,464
bga,9843691,9932,295,434
bgb,9909289,8261,214,301
bgc,9971256,9154,7,15
bgd,9653492,9652,78,257
bge,9796073,10244,178,289
bgf,9893944,9624,201,297
bgg,9922678,10601,8,30
caa,9934747,8518,159,238
cab,9779560,9613,132,240
cac,9769620,8385,9,41
cad,9875585,7453,201,316
cae,9737910,8685,126,285
caf,9746029,9182,5,8
cag,9997424,8606,102,231
cba,9998364,8117,87,200
cbb,9842889,9528,49,222
cbc,9955175,8473,188,297
cbd,9885410,8774,287,595
cbe,9891778,9322,5,9
cbf,9850886,9897,98,177
cbg,9838107,9470,169,349
cca,9892468,8952,133,208
ccb,9998020,7283,186,271
ccc,9958572,8768,277,697
ccd,9953079,8444,10,33
cce,9851408,9037,48,77
ccf,9977060,9573,77,291
ccg,9967050,7892,105,153
cda,9931457,9718,93,144
cdb,9961935,9794,20,79
cdc,9752054,9876,481,759
cdd,9852560,8638,173,280
cde,9691964,8986,104,189
cdf,9984277,9473,9,39
cdg,9694676,9105,154,306
cea,9936562,9575,155,354
ceb,9862674,8406,38,82
cec,9960338,7986,112,145
ced,9985412,9722,173,258
cee,9761206,8524,54,82
cef,9806590,9021,5,7
ceg,9932546,9047,80,119
cfa,9929206,6770,207,312
cfb,9952931,11429,7,25
cfc,9931130,7616,83,143
cfd,9911540,8532,14,43
cfe,9995303,7420,446,949
cff,9870059,9862,267,372
cfg,9996378,9697,154,319
cga,9898700,9229,26,73
cgb,9938185,8604,95,244
cgc,9979469,7692,32,118
cgd,9995248,7353,169,235
cge,9884372,7957,175,366
cgf,9938091,8215,26,73
cgg,9829574,8965,58,163
daa,9971818,9663,215,343
dab,9886037,8223,181,274
dac,9976187,8250,21,50
dad,9861205,9643,389,811
dae,9982344,8373,130,208
daf,9937597,9660,5,6
dag,9980281,9709,126,291
dba,9895922,9774,49,71
dbb,9682001,10059,199,344
dbc,9994401,8887,6,17
dbd,9875915,8567,227,402
dbe,9801899,6936,225,358
dbf,9808842,8141,27,55
dbg,9901077,8761,38,91
dca,9956125,10004,237,388
dcb,9544958,8502,340,719
dcc,9976842,7738,19,49
dcd,9997472,9329,219,386
dce,9628585,10699,155,316
dcf,9674208,10238,222,331
dcg,9922095,7543,165,351
dda,9644980,9664,124,232
ddb,9827793,9812,109,204
ddc,9934800,9639,519,1079
ddd,9983847,8480,339,583
dde,9636384,9416,100,240
ddf,9847999,10623,770,2093
ddg,9769727,10272,65,183
dea,9976880,8499,177,276
deb,9974322,9119,110,322
dec,9987584,8229,91,262
ded,9957967,8575,121,174
dee,9979382,7793,89,219
def,9988676,7664,8,23
deg,9983873,8869,18,62
dfa,9889521,9795,108,201
dfb,9652900,8818,31,93
dfc,9934901,8009,66,136
dfd,9975046,8721,312,533
dfe,9993988,9907,138,251
dff,9947071,10195,16,39
dfg,9675335,8373,136,287
dga,9821654,8272,286,444
dgb,9964245,10487,84,152
dgc,9764150,9674,25,71
dgd,9988494,7188,232,413
dge,9779781,8464,103,165
dgf,9778065,8337,19,71
dgg,9883690,9518,62,90
eaa,9972841,10327,99,212
eab,9865902,8029,145,299
eac,9974659,8736,37,149
ead,9815157,8902,136,214
eae,9902204,9560,70,217
eaf,9968006,10065,82,144
eag,9896188,12073,83,219
eba,9835994,9140,138,291
ebb,9887308,9501,93,207
ebc,9910736,11601,48,103
ebd,9720918,10121,78,226
ebe,9923816,9254,41,88
ebf,9817962,8976,75,152
ebg,9632549,7981,110,269
eca,9990016,8987,124,194
ecb,9823440,8122,105,161
ecc,9822232,8615,79,130
ecd,9793105,9543,230,308
ece,9985847,9007,99,154
ecf,9586196,9440,146,276
ecg,9953752,10023,108,241
eda,9931981,10247,80,172
edb,9826322,8973,242,356
edc,9982291,11066,21,107
edd,9321853,8931,8,23
ede,9643161,8808,13,24
edf,9831294,9657,9,28
edg,9777632,8673,49,134
eea,9908937,7894,67,205
eeb,9786448,7679,14,40
eec,9965896,8425,138,224
eed,9968342,9860,111,232
eee,9998158,9274,151,310
eef,9943782,9148,127,266
eeg,9702667,8893,221,361
efa,9872412,10781,130,200
efb,9633922,9915,15,44
efc,9993107,9804,131,256
efd,9616027,9696,57,115
efe,9973677,9754,197,332
eff,9990621,8471,84,125
efg,9996710,8082,59,102
ega,9816419,9393,47,95
egb,9535919,8721,284,384
egc,9990577,7475,107,187
egd,9890985,9062,25,51
ege,9795084,9207,80,183
egf,9583297,8554,33,281
egg,9822638,9280,400,625
faa,9828769,8761,484,817
fab,9978822,7478,119,229
fac,9896932,7940,154,312
fad,9760667,9236,32,131
fae,9910033,8120,216,338
faf,9851123,9569,5,8
fag,9814205,10162,40,79
fba,9841926,9333,11,40
fbb,9246247,9992,322,498
fbc,9700849,9160,129,277
fbd,9961559,8578,32,82
fbe,9533548,7493,151,295
fbf,9973314,9683,11,36
fbg,9964025,8832,67,133
fca,9839136,9128,7,25
fcb,9340961,9637,158,283
fcc,9952471,9380,111,185
fcd,9803053,8911,26,85
fce,9882862,8481,13,47
fcf,9901303,9749,159,277
fcg,9809041,10337,80,183
fda,9325830,9410,59,189
fdb,9995072,8340,32,85
fdc,9239228,10179,114,185
